given_word,real_syllabification,attempted_syllabification,lev_dist,true_syl_count,attempted_syl_count
elector,gos-sip-y,gos-sipy,1,3,2
mercuric,gos-sip-y,gos-sipy,1,3,2
nonsensical,gos-sip-y,gos-sipy,1,3,2
apostolic,gos-sip-y,gos-sipy,1,3,2
shutter,gos-sip-y,gos-sipy,1,3,2
bing,gos-sip-y,gos-sipy,1,3,2
thoracic,gos-sip-y,gos-sipy,1,3,2
besiege,gos-sip-y,gos-sipy,1,3,2
foul,gos-sip-y,gos-sipy,1,3,2
equivalence,gos-sip-y,gos-sipy,1,3,2
physiological,gos-sip-y,gos-sipy,1,3,2
movable,gos-sip-y,gos-sipy,1,3,2
encapsulate,gos-sip-y,gos-sipy,1,3,2
shoot,gos-sip-y,gos-sipy,1,3,2
habitation,gos-sip-y,gos-sipy,1,3,2
sleepiness,gos-sip-y,gos-sipy,1,3,2
nepotism,gos-sip-y,gos-sipy,1,3,2
baron,gos-sip-y,gos-sipy,1,3,2
woodshed,gos-sip-y,gos-sipy,1,3,2
beneficial,gos-sip-y,gos-sipy,1,3,2
lecherous,gos-sip-y,gos-sipy,1,3,2
haggard,gos-sip-y,gos-sipy,1,3,2
meringue,gos-sip-y,gos-sipy,1,3,2
flesher,gos-sip-y,gos-sipy,1,3,2
startle,gos-sip-y,gos-sipy,1,3,2
detachable,gos-sip-y,gos-sipy,1,3,2
sensory,gos-sip-y,gos-sipy,1,3,2
cab,gos-sip-y,gos-sipy,1,3,2
mystic,gos-sip-y,gos-sipy,1,3,2
truncate,gos-sip-y,gos-sipy,1,3,2
invigorate,gos-sip-y,gos-sipy,1,3,2
tollgate,gos-sip-y,gos-sipy,1,3,2
disparaging,gos-sip-y,gos-sipy,1,3,2
mistress,gos-sip-y,gos-sipy,1,3,2
temptress,gos-sip-y,gos-sipy,1,3,2
ravaged,gos-sip-y,gos-sipy,1,3,2
lactation,gos-sip-y,gos-sipy,1,3,2
roost,gos-sip-y,gos-sipy,1,3,2
deep,gos-sip-y,gos-sipy,1,3,2
marinade,gos-sip-y,gos-sipy,1,3,2
hotly,gos-sip-y,gos-sipy,1,3,2
bookworm,gos-sip-y,gos-sipy,1,3,2
impossibly,gos-sip-y,gos-sipy,1,3,2
booking,gos-sip-y,gos-sipy,1,3,2
burdock,gos-sip-y,gos-sipy,1,3,2
poke,gos-sip-y,gos-sipy,1,3,2
overweening,gos-sip-y,gos-sipy,1,3,2
hoop,gos-sip-y,gos-sipy,1,3,2
paranormal,gos-sip-y,gos-sipy,1,3,2
sportingly,gos-sip-y,gos-sipy,1,3,2
banner,gos-sip-y,gos-sipy,1,3,2
culminate,gos-sip-y,gos-sipy,1,3,2
whip,gos-sip-y,gos-sipy,1,3,2
beefy,gos-sip-y,gos-sipy,1,3,2
ruck,gos-sip-y,gos-sipy,1,3,2
scalpel,gos-sip-y,gos-sipy,1,3,2
collectivisation,gos-sip-y,gos-sipy,1,3,2
crumple,gos-sip-y,gos-sipy,1,3,2
lustful,gos-sip-y,gos-sipy,1,3,2
expressive,gos-sip-y,gos-sipy,1,3,2
compensate,gos-sip-y,gos-sipy,1,3,2
blue,gos-sip-y,gos-sipy,1,3,2
excited,gos-sip-y,gos-sipy,1,3,2
cesspit,gos-sip-y,gos-sipy,1,3,2
maneuver,gos-sip-y,gos-sipy,1,3,2
outstep,gos-sip-y,gos-sipy,1,3,2
gloomy,gos-sip-y,gos-sipy,1,3,2
tawny,gos-sip-y,gos-sipy,1,3,2
legalese,gos-sip-y,gos-sipy,1,3,2
steamroller,gos-sip-y,gos-sipy,1,3,2
dispossession,gos-sip-y,gos-sipy,1,3,2
liminal,gos-sip-y,gos-sipy,1,3,2
beadwork,gos-sip-y,gos-sipy,1,3,2
torturous,gos-sip-y,gos-sipy,1,3,2
lumbering,gos-sip-y,gos-sipy,1,3,2
blood,gos-sip-y,gos-sipy,1,3,2
delicate,gos-sip-y,gos-sipy,1,3,2
wretched,gos-sip-y,gos-sipy,1,3,2
arduous,gos-sip-y,gos-sipy,1,3,2
aspiration,gos-sip-y,gos-sipy,1,3,2
cod,gos-sip-y,gos-sipy,1,3,2
aslant,gos-sip-y,gos-sipy,1,3,2
increasingly,gos-sip-y,gos-sipy,1,3,2
broad,gos-sip-y,gos-sipy,1,3,2
checklist,gos-sip-y,gos-sipy,1,3,2
webbed,gos-sip-y,gos-sipy,1,3,2
ingot,gos-sip-y,gos-sipy,1,3,2
rafter,gos-sip-y,gos-sipy,1,3,2
thicket,gos-sip-y,gos-sipy,1,3,2
unvanquished,gos-sip-y,gos-sipy,1,3,2
carotene,gos-sip-y,gos-sipy,1,3,2
gastric,gos-sip-y,gos-sipy,1,3,2
anthropometric,gos-sip-y,gos-sipy,1,3,2
haft,gos-sip-y,gos-sipy,1,3,2
freehand,gos-sip-y,gos-sipy,1,3,2
choirboy,gos-sip-y,gos-sipy,1,3,2
dachshund,gos-sip-y,gos-sipy,1,3,2
honestly,gos-sip-y,gos-sipy,1,3,2
parrot,gos-sip-y,gos-sipy,1,3,2
wrinkled,gos-sip-y,gos-sipy,1,3,2
triple,gos-sip-y,gos-sipy,1,3,2
nose,gos-sip-y,gos-sipy,1,3,2
maser,gos-sip-y,gos-sipy,1,3,2
melody,gos-sip-y,gos-sipy,1,3,2
dairy,gos-sip-y,gos-sipy,1,3,2
urbane,gos-sip-y,gos-sipy,1,3,2
conquer,gos-sip-y,gos-sipy,1,3,2
tumbledown,gos-sip-y,gos-sipy,1,3,2
push,gos-sip-y,gos-sipy,1,3,2
hyperinflation,gos-sip-y,gos-sipy,1,3,2
best,gos-sip-y,gos-sipy,1,3,2
reinstatement,gos-sip-y,gos-sipy,1,3,2
roughly,gos-sip-y,gos-sipy,1,3,2
stillness,gos-sip-y,gos-sipy,1,3,2
unencrypted,gos-sip-y,gos-sipy,1,3,2
mislay,gos-sip-y,gos-sipy,1,3,2
chorus,gos-sip-y,gos-sipy,1,3,2
kilt,gos-sip-y,gos-sipy,1,3,2
gemsbok,gos-sip-y,gos-sipy,1,3,2
strip,gos-sip-y,gos-sipy,1,3,2
cockpit,gos-sip-y,gos-sipy,1,3,2
taxidermy,gos-sip-y,gos-sipy,1,3,2
fogey,gos-sip-y,gos-sipy,1,3,2
butter,gos-sip-y,gos-sipy,1,3,2
belligerence,gos-sip-y,gos-sipy,1,3,2
ninefold,gos-sip-y,gos-sipy,1,3,2
wold,gos-sip-y,gos-sipy,1,3,2
subordination,gos-sip-y,gos-sipy,1,3,2
degraded,gos-sip-y,gos-sipy,1,3,2
bloodstain,gos-sip-y,gos-sipy,1,3,2
raspberry,gos-sip-y,gos-sipy,1,3,2
miscreant,gos-sip-y,gos-sipy,1,3,2
football,gos-sip-y,gos-sipy,1,3,2
kestrel,gos-sip-y,gos-sipy,1,3,2
