Attempt	Real
as-tir	a-stir
surger-y	sur-ger-y
e-v-en-ly	e-ven-ly
dis-kette	disk-ette
mer-cur-ic	mer-cu-ric
de-scend-ing	descending
re-pro-duci-bly	re-pro-duc-i-bly
elvish	elv-ish
gad-get	gadg-et
phy-si-o-log-i-cal	phys-i-o-log-i-cal
heal-th-y	health-y
waspish	wasp-ish
se-r-o-to-nin	ser-o-to-nin
car-ri-age-way	car-riage-way
can-y-on	can-yon
there-un-d-er	there-un-der
in-cre-dul-i-ty	in-cre-du-li-ty
cud-gel	cudg-el
posse	pos-se
tel-e-sa-les	tel-e-sales
jux-tap-o-si-tion	jux-ta-po-si-tion
as-su-r-ance	as-sur-ance
im-port-ed	imported
an-yth-ing	an-y-thing
ti-til-la-tion	tit-il-la-tion
hered-i-tar-y	he-red-i-tar-y
ack-now-ledge	ac-knowl-edge
dach-shund	dachs-hund
hob-go-blin	hob-gob-lin
mar-kup	mark-up
in-tric-a-cy	in-tri-ca-cy
squa-lor	squal-or
the-ore-ti-cian	the-o-re-ti-cian
pan-th-er	pan-ther
pal-a-ta-ble	pal-at-a-ble
poem	po-em
tran-s-cen-den-tal	tran-scen-den-tal
flyov-er	fly-o-ver
can-al	ca-nal
cursed	curs-ed
pos-thu-mous-ly	post-hu-mous-ly
rhe-ostat	rhe-o-stat
louv-er	lou-ver
con-tin-u-i-ty	con-ti-nu-i-ty
ge-ogra-ph-er	ge-og-ra-pher
un-go-v-ern-a-ble	un-gov-ern-a-ble
de-crepit	de-crep-it
ga-se-ous	gas-e-ous
be-vel	bev-el
rede-ploy	re-de-ploy
grasshop-per	grass-hop-per
dei-ty	de-i-ty
wind-sur-fer	wind-surf-er
ig-nor-a-mus	ig-no-ra-mus
trans-plant-ed	transplanted
my-tho-log-i-cal	myth-o-log-i-cal
ther-mo-s-tat	ther-mo-stat
ci-t-y	cit-y
devel-o-per	de-vel-op-er
of-fhand	off-hand
myo-pi-a	my-o-pi-a
priss-y	pris-sy
glo-bal	glob-al
startling	star-tling
penk-nife	pen-knife
une-lect-a-ble	un-e-lect-a-ble
pro-spect	pros-pect
div-i-sive	di-vi-sive
bi-modal	bi-mod-al
de-lineate	de-lin-e-ate
bit-u-men	bi-tu-men
deca-pod	dec-a-pod
un-com-promis-ing	un-com-pro-mis-ing
nak-ed-ness	na-ked-ness
junk-er	jun-ker
bar-bar-ism	bar-ba-rism
cru-elty	cru-el-ty
bon-an-za	bo-nan-za
pro-tect-ed	protected
pri-s-on	pris-on
plac-a-to-ry	pla-ca-to-ry
globe-trotting	globe-trot-ting
con-tempti-ble	con-tempt-i-ble
el-fin	elf-in
vain-g-lo-ri-ous	vain-glo-ri-ous
con-vict-ed	convicted
swin-g-y	swing-y
mech-an-ist	mech-a-nist
poin-ty	point-y
dis-son-ant	dis-so-nant
su-p-ra-na-tion-al	su-pra-na-tion-al
mea-sure-ment	meas-ure-ment
drop-s-y	drop-sy
u-n-i-tar-y	u-ni-tar-y
gent-ly	gen-tly
cre-dul-i-ty	cre-du-li-ty
u-s-urp	u-surp
jal-o-py	ja-lop-y
spi-rit-u-al	spir-it-u-al
wa-gon	wag-on
ca-ter-waul	cat-er-waul
pome-lo	pom-e-lo
con-sul-tan-cy	con-sult-an-cy
smoth-ered	smothered
equita-bly	eq-ui-ta-bly
mic-ro-film	mi-cro-film
tre-mo-lo	trem-o-lo
govern-ing	governing
ma-ke-up	make-up
scan-da-lous	scan-dal-ous
cor-po-ra-tism	cor-po-rat-ism
rectan-gle	rec-tan-gle
ner-vy	nerv-y
ye-ti	yet-i
rearm	re-arm
cre-n-el-la-tions	cren-el-la-tions
sa-tur-nine	sat-ur-nine
phy-si-o-ther-a-pist	phys-i-o-ther-a-pist
bu-sy-bo-dy	bus-y-bod-y
treadle	trea-dle
her-bal-ist	herb-al-ist
rei-fy	re-i-fy
de-po-sit	de-pos-it
un-satis-fy-ing	un-sat-is-fy-ing
nove-lis-tic	nov-el-is-tic
god-for-sa-k-en	god-for-sak-en
cosset-ed	cosseted
frenz-y	fren-zy
proceed	pro-ceed
ca-n-oe	ca-noe
un-de-r-arm	un-der-arm
ween-y	wee-ny
sig-ners	sign-ers
bar-o-ness	bar-on-ess
a-waken-ing	a-wak-en-ing
dec-i-sive-ness	de-ci-sive-ness
un-devel-oped	un-de-vel-oped
pi-on-eer	pi-o-neer
pol-i-cewo-man	po-lice-wom-an
lemming	lem-ming
di-ploid	dip-loid
pon-y-tail	po-ny-tail
hys-te-r-ec-to-my	hys-ter-ec-to-my
bir-thright	birth-right
laund-er	laun-der
in-com-bust-i-ble	in-com-bus-ti-ble
met-er	me-ter
res-pir-a-tor	res-pi-ra-tor
burg-lar-y	bur-gla-ry
stripling	strip-ling
wor-m-y	worm-y
lit-er-a-ti	lit-e-ra-ti
de-ter-mi-nis-tic	de-ter-min-is-tic
el-sewh-ere	else-where
cap-rice	ca-price
in-er-ad-i-ca-ble	in-e-rad-i-ca-ble
ty-pog-ra-ph-ers	typographers
ste-th-o-scope	steth-o-scope
co-land-er	col-an-der
openhand-ed	o-pen-hand-ed
whee-lie	wheel-ie
phi-los-o-ph-er	phi-los-o-pher
duchess	duch-ess
bo-s-un	bo-sun
ic-i-cle	i-ci-cle
con-cussed	concussed
i-d-i-o-cy	id-i-o-cy
e-lec-to-rate	e-lec-tor-ate
a-to-mic-i-ty	at-o-mic-i-ty
pir-a-cy	pi-ra-cy
erup-tive	e-rup-tive
neu-t-er	neu-ter
re-sid-ue	res-i-due
bigot-ed	big-ot-ed
ca-vi-ar	cav-i-ar
in-ad-ver-tent	in-ad-vert-ent
nin-e-teen	nine-teen
at-tempt-ed	at-tempted
i-g-loo	ig-loo
bu-tler	but-ler
chartered	char-tered
platy-pus	plat-y-pus
whis-k-er	whisk-er
stiffly	stiff-ly
val-i-ant	val-iant
bi-vou-ac	biv-ou-ac
hatt-ed	hat-ted
word-s-mith	word-smith
not-i-fi-ca-tion	no-ti-fi-ca-tion
bar-bit-u-rate	bar-bi-tu-rate
tsetse	tset-se
pus-sy-cat	pussycat
scra-py-ard	scrap-yard
