Attempt	Real
re-cy-cling	recycling
n-ev-er	nev-er
hal-ibut	hal-i-but
read-mis-sion	re-ad-mis-sion
any-ways	an-y-ways
chalet	cha-let
springy	spring-y
hotspot	hot-spot
eter-nal-ly	e-ter-nal-ly
s-mack-er	smack-er
us-able	us-a-ble
un-abat-ed	un-a-bat-ed
satir-i-cal	sa-tir-i-cal
s-cor-pi-on	scor-pi-on
im-munoas-say	im-mu-no-as-say
doubter	doubt-er
em-piri-cist	em-pir-i-cist
swarm-ing	swarming
healthi-ly	health-i-ly
s-targaz-er	star-gaz-er
coro-nal	cor-o-nal
cor-re-spon-den-t	cor-re-spond-ent
in-n	inn
neo-phyte	ne-o-phyte
fo-men-t	fo-ment
en-gi-neered	engineered
per-centile	per-cen-tile
s-ly	sly
s-teer-age	steer-age
garage	ga-rage
dis-abuse	dis-a-buse
s-loop	sloop
s-tool	stool
puffy	puf-fy
greedy	greed-y
fetid	fet-id
salien-t	sa-li-ent
re-im-burse-men-t	re-im-burse-ment
chro-matog-ra-phy	chro-ma-tog-ra-phy
re-uni-fi-ca-tion	re-u-ni-fi-ca-tion
po-litesse	pol-i-tesse
record-ed	re-cor-ded
s-capu-la	scap-u-la
winnable	win-na-ble
in-stru-men-t	in-stru-ment
co-gen-t	co-gent
hye-na	hy-e-na
s-niff-in-g	sniffing
cur-tail-men-t	cur-tail-ment
gofer	go-fer
gro-cery	gro-cer-y
hunter	hunt-er
re-design	re-de-sign
in-ten-t	in-tent
frailty	frail-ty
psy-cho-me-t-ric	psy-cho-met-ric
video	vid-e-o
l-o-gis-ti-cal-ly	lo-gis-ti-cal-ly
kook-abur-ra	kook-a-bur-ra
turntable	turn-ta-ble
easy	eas-y
foot-light-s	foot-lights
basin	ba-sin
apoth-e-o-sis	a-poth-e-o-sis
con-fi-dan-t	con-fi-dant
record-ing	re-cord-ing
resur-face	re-sur-face
unin-spired	un-in-spired
ten-able	ten-a-ble
fusty	fus-ty
con-tex-t	con-text
pester	pes-ter
over-ween-ing	o-ver-ween-ing
un-der-de-vel-ope-d	un-der-de-vel-oped
de-cam-p	de-camp
sub-con-ti-nen-t	sub-con-ti-nent
par-venu	par-ve-nu
cre-ativ-i-ty	cre-a-tiv-i-ty
teapot	tea-pot
pro-mul-gate	prom-ul-gate
poly-mor-phous	pol-y-mor-phous
hy-dro-dy-nam-ic-s	hy-dro-dy-nam-ics
syn-onymy	syn-on-y-my
hy-gien-e	hy-giene
crevice	crev-ice
epis-co-pate	e-pis-co-pate
gra-nary	gra-na-ry
seclu-sion	se-clu-sion
parochial-is-m	pa-ro-chi-al-ism
b-lis-ter-ing	blis-ter-ing
t-elecom-mu-ni-ca-tion	tel-e-com-mu-ni-ca-tion
iron-work-s	i-ron-works
b-room	broom
hawser	haw-ser
sign-er-s	sign-ers
volt-meter	volt-me-ter
t-wo	two
