Attempt	Real
fla-gel-la-tion	flag-el-la-tion
de-cile	dec-ile
dis-sen-ter	dis-sent-er
ele-phant	el-e-phant
garn-ish	gar-nish
lea-gue	league
pro-duct	prod-uct
brunette	bru-nette
sushi	su-shi
ob-ser-ver	ob-serv-er
con-den-ser	con-dens-er
bi-got	big-ot
er-a-ser	e-ras-er
un-der-priv-ileged	un-der-priv-i-leged
con-tour-ing	con-touring
hein-ous	hei-nous
a-wes-truck	awe-struck
su-per-posed	superposed
hed-ger-ow	hedge-row
prostra-tion	pros-tra-tion
chee-ri-o	cheer-i-o
bonded	bond-ed
car-ri-age-way	car-riage-way
de-fines	def-ines
hireling	hire-ling
not-i-fy	no-ti-fy
de-lim-it-ed	delimited
o-ther-wise	oth-er-wise
gyro-scope	gy-ro-scope
co-pra	cop-ra
heat-wave	heatwave
as-tray	a-stray
to-p-o-graph-ic	top-o-graph-ic
ve-nue	ven-ue
throa-ty	throat-y
me-nu	men-u
un-priv-ileged	un-priv-i-leged
fa-th-om	fath-om
haberd-ash-er	hab-er-dash-er
stringy	string-y
lib-i-do	li-bi-do
port-age	por-tage
hy-po-c-ri-sy	hy-poc-ri-sy
au-g-er	au-ger
de-caf-feinate	de-caf-fein-ate
pre-sence	pres-ence
disem-bark	dis-em-bark
bet-ween	be-tween
ori-fice	or-i-fice
me-g-a-ton	meg-a-ton
in-ex-or-a-bly	in-ex-o-ra-bly
re-per-toire	rep-er-toire
doc-toring	doctoring
scream-ing	screaming
sy-non-y-my	syn-on-y-my
di-su-nion	dis-un-ion
prop-y-lene	pro-pyl-ene
nit-ro-gen	ni-tro-gen
whee-lie	wheel-ie
courte-san	cour-te-san
is-o-lat-ed	i-so-lat-ed
un-in-tel-ligi-ble	un-in-tel-li-gi-ble
swimming-ly	swim-ming-ly
hoard-ed	hoarded
stab-le-mate	sta-ble-mate
network-ing	networking
des-pite	de-spite
flu-tist	flut-ist
ou-tra-geous-ly	out-ra-geous-ly
rese-lect	re-se-lect
dis-tur-bing-ly	dis-turb-ing-ly
e-phem-e-r-a	e-phem-er-a
smokestack	smoke-stack
as-tir	a-stir
ma-lod-o-rous	mal-o-dor-ous
ben-e-fi-ciar-y	ben-e-fi-ci-ar-y
dis-cotheque	dis-co-theque
out-spo-k-en	out-spo-ken
syca-more	syc-a-more
budg-e-tar-y	budg-et-ar-y
fra-tric-i-dal	frat-ri-cid-al
flounder	floun-der
so-me-one	some-one
o-blate	ob-late
cat-er-er	ca-ter-er
san-i-ta-ry	san-i-tar-y
pri-est	priest
mo-vie	mov-ie
eas-ter-ly	east-er-ly
vi-s-or	vi-sor
furn-ished	fur-nished
med-dling	meddling
bleat-ing	bleating
anx-i-ous-ly	anx-ious-ly
molester	mo-lest-er
ow-ner-ship	own-er-ship
now-here	no-where
os-tra-c-ism	os-tra-cism
fran-gi-pa-ni	fran-gi-pan-i
ve-ter-i-nar-y	vet-er-i-nar-y
syl-la-ba-ry	syl-la-bar-y
mid-wif-er-y	mid-wife-ry
wes-tern-most	west-ern-most
dais-y	dai-sy
howling	howl-ing
o-ve-re-at	o-ver-eat
con-strict-ed	constricted
ep-ige-net-ic	ep-i-ge-net-ic
e-lec-tro-en-ce-phal-o-gram	e-lec-tro-en-ceph-a-lo-gram
i-deal-ly	i-de-al-ly
de-le-te-ri-ous	del-e-te-ri-ous
vig-o-rous	vig-or-ous
cour-teous	cour-te-ous
sa-v-age-ly	sav-age-ly
dura-ble	du-ra-ble
wa-gon	wag-on
ba-loney	ba-lo-ney
ini-tia-tor	in-i-ti-a-tor
cov-a-lent	co-va-lent
la-wy-er	law-yer
bi-g-ot-ry	big-ot-ry
fis-ti-cuffs	fist-i-cuffs
com-par-a-ble	com-pa-ra-ble
e-lec-to-rate	e-lec-tor-ate
ini-ti-a-tion	in-i-ti-a-tion
cre-nel-la-tions	cren-el-la-tions
u-n-o-rig-i-nal	un-o-rig-i-nal
maso-chist	mas-och-ist
roguish	ro-guish
dan-de-lion	dan-de-li-on
skiing	ski-ing
pi-ca-r-esque	pic-a-resque
do-pey	dope-y
he-roism	her-o-ism
an-ta-go-nism	an-tag-o-nism
me-lon	mel-on
e-phor	eph-or
de-vil-ment	dev-il-ment
prompting	prompt-ing
o-th-er-ness	oth-er-ness
tel-e-vised	televised
mes-senger	mes-sen-ger
re-in-vig-o-rate	re-in-vig-or-ate
gangling	gan-gling
un-pro-ven	un-prov-en
gi-blets	gib-lets
de-f-er-en-tial	def-er-en-tial
ba-l-ance	bal-ance
u-reth-ra	u-re-thra
tele-thon	tel-e-thon
macker-el	mack-er-el
twinkling	twin-kling
cata-comb	cat-a-comb
sil-age	si-lage
meas-ly	mea-sly
pre-mi-ere	pre-miere
eid-er	ei-der
ple-bis-cite	pleb-i-scite
mishan-dle	mis-han-dle
re-ceiver-ship	re-ceiv-er-ship
buz-zer	buzz-er
ting-ly	tin-gly
ca-mel	cam-el
arach-nid	a-rach-nid
ev-o-ca-tive	e-voc-a-tive
ba-sil	bas-il
nu-dist	nud-ist
re-devel-op-ment	re-de-vel-op-ment
sy-co-phan-tic	syc-o-phan-tic
wash-er-wo-man	wash-er-wom-an
dis-am-bi-gu-ate	dis-am-big-u-ate
her-me-ne-u-t-ics	her-me-neu-tics
is-o-mor-phic	i-so-mor-phic
las-er	la-ser
mus-ke-teer	mus-ket-eer
val-ise	va-lise
as-tro-nau-t-ics	as-tro-nau-tics
in-debted	in-debt-ed
nad-ir	na-dir
me-teor	me-te-or
mut-ter-ing	muttering
cerise	ce-rise
prompti-tude	promp-ti-tude
