Attempt	Real
gaiter	gait-er
glossy	gloss-y
con-cep-t	con-cept
ac-cen-t	ac-cent
lapel	la-pel
s-melly	smell-y
penin-su-la	pen-in-su-la
chaos	cha-os
arch-dio-cese	arch-di-o-cese
im-prison	im-pris-on
raga-muf-fin	rag-a-muf-fin
sitar	si-tar
deci-bel	dec-i-bel
ath-leti-cis-m	ath-let-i-cism
s-lum-ber	slum-ber
hu-morist	hu-mor-ist
pes-simist	pes-si-mist
par-lia-men-t	par-lia-ment
crazi-ness	cra-zi-ness
hauli-er	haul-ier
re-new-able	re-new-a-ble
eat-able	eat-a-ble
tem-po-rar-ily	tem-po-rar-i-ly
fi-brob-last	fi-bro-blast
schoolmistress	school-mis-tress
leg-isla-tive	leg-is-la-tive
i-den-ti-fi-able	i-den-ti-fi-a-ble
con-tra-dic-t	con-tra-dict
dis-abled	dis-a-bled
dis-senter	dis-sent-er
s-toked	stoked
g-narl	gnarl
pris-m	prism
in-ter-po-lat-able	in-ter-po-la-ta-ble
over-lie	o-ver-lie
con-se-quen-t	con-se-quent
de-b	deb
crater	cra-ter
chrysalis	chrys-a-lis
s-pan-gled	spangled
her-bi-cide	herb-i-cide
an-thro-po-mor-phis-m	an-thro-po-mor-phism
crosstalk	cross-talk
an-nounce-men-t	an-nounce-ment
tasty	tast-y
coolan-t	cool-ant
pil-l	pill
posse	pos-se
pros-e	prose
touris-tic	tour-is-tic
ide-al-is-m	i-de-al-ism
damper	damp-er
manes	ma-nes
g-lut-tonous	glut-ton-ous
peachy	peach-y
wreck-ing	wrecking
gra-tu-itous-ly	gra-tu-i-tous-ly
chrono-graph	chron-o-graph
dis-heart-ened	dis-hear-tened
im-per-me-able	im-per-me-a-ble
wily	wil-y
desert-s	de-serts
pen-tathlon	pen-tath-lon
gazelle	ga-zelle
chi-ropody	chi-rop-o-dy
par-lia-men-tary	par-lia-men-ta-ry
wolfish	wolf-ish
markup	mark-up
s-word	sword
grumpy	grump-y
ar-rival	ar-ri-val
tick-et-ed	ticketed
u-n-adapt-ed	un-a-dapt-ed
poly-cyclic	pol-y-cy-clic
over-ride	o-ver-ride
any-more	an-y-more
ex-cep-tion-able	ex-cep-tion-a-ble
seg-men-t	seg-ment
transpon-der	tran-spon-der
pre-pon-der-an-t	pre-pon-der-ant
chival-ry	chiv-al-ry
rover	rov-er
dark-ened	dar-kened
hyp-ocrite	hyp-o-crite
re-design	re-de-sign
s-jam-bok	sjam-bok
em-body	em-bod-y
potable	po-ta-ble
cin-e-matog-ra-pher	cin-e-ma-tog-ra-pher
s-car-i-ly	scar-i-ly
sedan	se-dan
mis-cre-an-t	mis-cre-ant
notepad	note-pad
nico-tine	nic-o-tine
de-served-ly	de-serv-ed-ly
e-mer-gen-t	e-mer-gent
ready	read-y
in-ter-jec-t	in-ter-ject
in-con-ve-nience	in-con-ven-ience
limpet	lim-pet
geopo-lit-i-cal	ge-o-po-lit-i-cal
oop-s	oops
for-m	form
body-work	bod-y-work
coleslaw	cole-slaw
posy	po-sy
l-itotes	li-to-tes
me-dieval	me-di-e-val
an-tithe-sis	an-tith-e-sis
unin-spir-ing	un-in-spir-ing
in-fin-ite-ly	in-fi-nite-ly
un-chal-lenge-able	un-chal-lenge-a-ble
oblo-quy	ob-lo-quy
i-ambus	i-am-bus
r-e-fit	re-fit
s-lut	slut
s-e-lec-tor	se-lec-tor
durable	du-ra-ble
in-ces-san-t	in-ces-sant
ex-trem-is-m	ex-trem-ism
flan-nelette	flan-nel-ette
in-cisor	in-ci-sor
cen-trifu-ga-tion	cen-trif-u-ga-tion
de-po-nen-t	de-po-nent
quizzi-cal	quiz-zi-cal
apol-o-gize	a-pol-o-gize
enu-mer-a-tor	e-nu-mer-a-tor
cupo-la	cu-po-la
itchy	itch-y
menar-che	men-ar-che
hearthrug	hearth-rug
groom-ing	grooming
wa-ter-work-s	wa-ter-works
s-tub-born	stub-born
crumbly	crum-bly
anorex-i-c	an-o-rex-ic
z-inc	zinc
dean-ery	dean-er-y
im-mov-able	im-mov-a-ble
s-teed	steed
puz-zle-men-t	puz-zle-ment
pul-l	pull
be-wil-dered	bewildered
athe-ist	a-the-ist
hashish	hash-ish
luke-war-m	luke-warm
suf-frag-ist	suf-fra-gist
s-mall-hold-ing	small-hold-ing
hermeneu-tic	her-me-neu-tic
e-h	eh
con-jec-tural	con-jec-tur-al
de-men-t	de-ment
mistle-toe	mis-tle-toe
itin-er-an-t	i-tin-er-ant
dis-en-fran-chise-men-t	dis-en-fran-chise-ment
im-pinge-men-t	im-pinge-ment
re-versible	re-vers-i-ble
re-plen-ish-men-t	re-plen-ish-ment
s-teer-ing	steer-ing
par-tial-i-ty	par-ti-al-i-ty
cho-ris-ter	chor-is-ter
messy	mess-y
ar-cana	ar-ca-na
fungi-cide	fun-gi-cide
n-in-com-poop	nin-com-poop
pedi-gree	ped-i-gree
golfer	golf-er
valiant-ly	val-iant-ly
graphite	graph-ite
un-de-vel-ope-d	un-de-vel-oped
awake	a-wake
u-ni-lat-er-al-is-m	u-ni-lat-er-al-ism
eu-kary-ote	eu-kar-y-ote
mini-cab	min-i-cab
naked-ness	na-ked-ness
p-res-ence	pres-ence
swishy	swish-y
body	bod-y
nir-vana	nir-va-na
ori-en-ta-tion	o-ri-en-ta-tion
mar-ketabil-i-ty	mar-ket-a-bil-i-ty
catarac-t	cat-a-ract
bire-frin-gen-t	bi-re-frin-gent
crim-p	crimp
up-silon	up-si-lon
s-late	slate
fermion	fer-mi-on
par-enter-al	par-en-ter-al
preg-nan-t	preg-nant
beg-gary	beg-gar-y
tilde	til-de
vary	var-y
elec-t	e-lect
funky	funk-y
karate	ka-ra-te
democ-ra-cy	de-moc-ra-cy
trans-mo-gri-fy	trans-mog-ri-fy
lul-la-by	lull-a-by
in-tu-itive	in-tu-i-tive
minia-ture	min-i-a-ture
camisole	cam-i-sole
es-capade	es-ca-pade
pati-na-tion	pat-i-na-tion
ex-oge-nous	ex-og-e-nous
im-pru-den-t	im-pru-dent
diathermy	di-a-ther-my
fuz-z	fuzz
syn-ony-mous	syn-on-y-mous
s-ca-lene	sca-lene
ev-i-den-t	ev-i-dent
pastis	pas-tis
necro-man-tic	nec-ro-man-tic
quiver	quiv-er
sun-burned	sunburned
eeri-ly	ee-ri-ly
s-tat-ed	stat-ed
wave-for-m	wave-form
geni-i	ge-ni-i
s-ti-fling	sti-fling
shel-l	shell
hy-acinth	hy-a-cinth
s-tock-bro-ker	stock-brok-er
di-vider	di-vid-er
over-due	o-ver-due
in-tegri-ty	in-teg-ri-ty
er-ro-neous-ly	er-ro-ne-ous-ly
marcher	march-er
dread-lock-s	dread-locks
killer	kil-ler
silk-wor-m	silk-worm
k-er-chief	ker-chief
over-state-men-t	o-ver-state-ment
bi-cep-s	bi-ceps
diplo-mat-ic	dip-lo-mat-ic
disin-gen-u-ous	dis-in-gen-u-ous
in-con-stan-t	in-con-stant
lar-ynx-es	la-rynx-es
ap-praisal	ap-prais-al
u-nas-signed	un-as-signed
in-tifa-da	in-ti-fa-da
video-phone	vid-e-o-phone
anoma-lous	a-nom-a-lous
haiku	hai-ku
d-if-fract	dif-fract
detox-i-fi-ca-tion	de-tox-i-fi-ca-tion
ir-ra-tional-ly	ir-ra-tion-al-ly
prefa-to-ry	pref-a-to-ry
s-paghet-ti	spa-ghet-ti
quotable	quot-a-ble
tremor	trem-or
tute-lage	tu-te-lage
polyandry	pol-y-an-dry
grouchy	grouch-y
duck-bil-l	duck-bill
tan-nery	tan-ner-y
mar-malade	mar-ma-lade
g-nash	gnash
rosin	ros-in
s-ta-tion-er	sta-tion-er
usu-al	u-su-al
b-land	bland
merid-i-an	me-rid-i-an
flab-ber-gast-ed	flabbergasted
sana-to-ri-um	san-a-to-ri-um
daisy	dai-sy
japan	ja-pan
po-litesse	pol-i-tesse
coun-ter-rev-o-lu-tion-ary	coun-ter-rev-o-lu-tion-ar-y
nugget	nug-get
in-tel-li-gen-t	in-tel-li-gent
whaler	whal-er
voca-tive	voc-a-tive
s-tu-dentship	stu-dent-ship
mo-lasses	mo-las-ses
aquifer	aq-ui-fer
land-fal-l	land-fall
claret	clar-et
b-lis-s	bliss
in-dis-tinc-t	in-dis-tinct
torus	to-rus
s-po-rad-i-cal-ly	spo-rad-i-cal-ly
baronet	bar-on-et
grater	grat-er
un-re-cov-er-able	un-re-cov-er-a-ble
positron	pos-i-tron
k-i-na	ki-na
pave-men-t	pave-ment
bel-liger-en-t	bel-lig-er-ent
mul-ti-for-m	mul-ti-form
toma-to	to-ma-to
millinery	mil-li-ner-y
re-stroom	rest-room
trib-al-is-m	trib-al-ism
dis-sec-t	dis-sect
bud-getary	budg-et-ar-y
haver-sack	hav-er-sack
b-lis-ter-ing	blis-ter-ing
grandee	gran-dee
ad-d	add
un-cre-ative	un-cre-a-tive
an-nul-men-t	an-nul-ment
re-ceiver-ship	re-ceiv-er-ship
laud-s	lauds
em-piri-cist	em-pir-i-cist
ge-ome-ter	ge-om-e-ter
en-docrine	en-do-crine
quad-ran-t	quad-rant
rapid	rap-id
abuse	a-buse
per-me-able	per-me-a-ble
