Attempt	Real
re-cy-cling	recycling
hal-ibut	hal-i-but
read-mis-sion	re-ad-mis-sion
any-ways	an-y-ways
chalet	cha-let
springy	spring-y
hotspot	hot-spot
eter-nal-ly	e-ter-nal-ly
us-able	us-a-ble
un-abat-ed	un-a-bat-ed
satir-i-cal	sa-tir-i-cal
im-munoas-say	im-mu-no-as-say
doubter	doubt-er
em-piri-cist	em-pir-i-cist
swarm-ing	swarming
health-ily	health-i-ly
hy-dros-phere	hy-dro-sphere
stargaz-er	star-gaz-er
coro-nal	cor-o-nal
cor-re-spon-dent	cor-re-spond-ent
neo-phyte	ne-o-phyte
en-gi-neered	engineered
per-centile	per-cen-tile
axis	ax-is
rewire	re-wire
garage	ga-rage
dis-abuse	dis-a-buse
egal-i-tar-i-an	e-gal-i-tar-i-an
puffy	puf-fy
uni-son	u-ni-son
greedy	greed-y
fetid	fet-id
salient	sa-li-ent
chro-matog-ra-phy	chro-ma-tog-ra-phy
re-uni-fi-ca-tion	re-u-ni-fi-ca-tion
po-litesse	pol-i-tesse
in-sur-gency	in-sur-gen-cy
record-ed	re-cor-ded
scapu-la	scap-u-la
winnable	win-na-ble
hye-na	hy-e-na
sniff-ing	sniffing
gofer	go-fer
gro-cery	gro-cer-y
rewrite	re-write
hunter	hunt-er
re-design	re-de-sign
frailty	frail-ty
psy-cho-me-t-ric	psy-cho-met-ric
video	vid-e-o
ura-ni-um	u-ra-ni-um
kook-abur-ra	kook-a-bur-ra
turntable	turn-ta-ble
easy	eas-y
basin	ba-sin
apoth-e-o-sis	a-poth-e-o-sis
record-ing	re-cord-ing
resur-face	re-sur-face
into	in-to
unin-spired	un-in-spired
ten-able	ten-a-ble
fusty	fus-ty
pester	pes-ter
over-ween-ing	o-ver-ween-ing
apiece	a-piece
par-venu	par-ve-nu
cre-ativ-i-ty	cre-a-tiv-i-ty
teapot	tea-pot
pro-mul-gate	prom-ul-gate
poly-mor-phous	pol-y-mor-phous
syn-onymy	syn-on-y-my
crevice	crev-ice
epis-co-pate	e-pis-co-pate
gra-nary	gra-na-ry
seclu-sion	se-clu-sion
parochial-ism	pa-ro-chi-al-ism
telecom-mu-ni-ca-tion	tel-e-com-mu-ni-ca-tion
iron-works	i-ron-works
hawser	haw-ser
volt-meter	volt-me-ter
tra-verse	trav-erse
signet	sig-net
pol-lard-ed	pollarded
tiler	til-er
cheater	cheat-er
modal-i-ty	mo-dal-i-ty
tachy-on	tach-y-on
pre-s-e-lect	pre-se-lect
fid-get	fidg-et
iambus	i-am-bus
over-val-ue	o-ver-val-ue
gaze-bo	ga-ze-bo
de-mog-ra-ph-er	de-mog-ra-pher
lyri-cism	lyr-i-cism
bereft	be-reft
re-peater	re-peat-er
kilo-ton	kil-o-ton
re-spectabil-i-ty	re-spect-a-bil-i-ty
drom-e-dary	drom-e-dar-y
taster	tast-er
bathos	ba-thos
in-dis-putably	in-dis-put-a-bly
de-crepit	de-crep-it
sharply	sharp-ly
mic-turi-tion	mic-tu-ri-tion
dis-avow-al	dis-a-vow-al
brazen	bra-zen
briskly	brisk-ly
dactyl	dac-tyl
in-dige-nous	in-dig-e-nous
chas-ten-ing	chastening
im-moral-i-ty	im-mo-ral-i-ty
pold-er	pol-der
gallery	gal-ler-y
un-nec-es-sary	un-nec-es-sar-y
ocean	o-cean
cam-corder	cam-cord-er
oval	o-val
unas-signed	un-as-signed
uni-cam-er-al	u-ni-cam-er-al
fin-ery	fin-er-y
pushy	push-y
icon-o-clas-tic	i-con-o-clas-tic
me-te-oric	me-te-or-ic
tru-cu-lent	truc-u-lent
sari	sa-ri
undis-mayed	un-dis-mayed
mem-o-rable	mem-o-ra-ble
en-tropy	en-tro-py
habit	hab-it
spo-radic	spo-rad-ic
pyra-mid	pyr-a-mid
steamy	steam-y
in-abil-i-ty	in-a-bil-i-ty
cataract	cat-a-ract
ge-neti-cist	ge-net-i-cist
crazi-ly	cra-zi-ly
over-run	o-ver-run
desul-to-ry	des-ul-to-ry
hy-pox-ia	hy-pox-i-a
pre-de-ter-mined	predetermined
stiffly	stiff-ly
spongy	spon-gy
key-boardist	key-board-ist
amused	a-mused
grandiose	gran-di-ose
billing	bil-ling
erot-i-ca	e-rot-i-ca
apos-tate	a-pos-tate
id-iomat-ic	id-i-o-mat-ic
tai-lorable	tai-lor-a-ble
re-spectably	re-spect-a-bly
coulomb	cou-lomb
stapes	sta-pes
cretin	cre-tin
rounders	round-ers
sago	sa-go
fri-able	fri-a-ble
toga	to-ga
un-set-tling	unsettling
mono-pole	mon-o-pole
over-anx-ious	o-ver-anx-ious
spokes-woman	spokes-wom-an
enu-mer-a-tor	e-nu-mer-a-tor
body-guard	bod-y-guard
tweedy	tweed-y
slater	slat-er
serene	se-rene
grinder	grind-er
espres-so	es-pres-so
eco-log-i-cal-ly	ec-o-log-i-cal-ly
fairy	fair-y
costar	co-star
deficit	def-i-cit
aver	a-ver
trencher	trench-er
in-dis-putable	in-dis-put-a-ble
mil-ligram	mil-li-gram
sto-ry-telling	sto-ry-tell-ing
rip-pling	rippling
stipend	sti-pend
dither	dith-er
overuse	o-ver-use
coral	cor-al
tiling	til-ing
ne-go-tiable	ne-go-ti-a-ble
equidis-tant	e-qui-dis-tant
unswerv-ing	un-swerv-ing
palmy	palm-y
basal	ba-sal
sacral	sa-cral
break-able	break-a-ble
ves-ti-gial	ves-tig-i-al
cut-lery	cut-ler-y
an-swer-able	an-swer-a-ble
unlov-ing	un-lov-ing
un-in-for-ma-tive	un-in-form-a-tive
avi-ate	a-vi-ate
busy-body	bus-y-bod-y
de-mo-li-tion	dem-o-li-tion
episod-ic	ep-i-sod-ic
im-pri-matur	im-pri-ma-tur
satchel	satch-el
tele-vi-sion	tel-e-vi-sion
an-te-dilu-vian	an-te-di-lu-vi-an
boast-ing	boas-ting
un-de-cid-able	un-de-cid-a-ble
lu-mi-nary	lu-mi-nar-y
also	al-so
avert	a-vert
brandy	bran-dy
emi-rate	e-mir-ate
enor-mous-ly	e-nor-mous-ly
over-board	o-ver-board
bo-som	bos-om
bolero	bo-le-ro
flab-ber-gast-ed	flabbergasted
even-tu-al	e-ven-tu-al
re-deemer	re-deem-er
penol-o-gy	pe-nol-o-gy
elec-tric-i-ty	e-lec-tric-i-ty
brutish	brut-ish
em-anate	em-a-nate
reval-u-a-tion	re-val-u-a-tion
leav-ened	leavened
orig-i-na-tor	o-rig-i-na-tor
re-silience	re-sil-ience
mort-gagor	mort-ga-gor
oculist	oc-u-list
monomol-e-c-u-lar	mon-o-mo-lec-u-lar
iso-la-tion	i-so-la-tion
ringlet	ring-let
mud-dling	muddling
smoth-ered	smothered
pec-toral	pec-to-ral
sophist	soph-ist
lemon-ade	lem-on-ade
id-io-cy	id-i-o-cy
grid-iron	grid-i-ron
table-land	ta-ble-land
tute-lage	tu-te-lage
con-certi-na	con-cer-ti-na
squashy	squash-y
ital-ic	i-tal-ic
devo-tee	dev-o-tee
metro	met-ro
loafer	loaf-er
geri-atric	ger-i-at-ric
mandible	man-di-ble
over-act	o-ver-act
antler	ant-ler
au-dio	au-di-o
spon-sored	sponsored
sunspot	sun-spot
in-ter-vie-wee	in-ter-view-ee
over-sen-si-tive	o-ver-sen-si-tive
pass-able	pass-a-ble
posse	pos-se
sanc-tu-ary	sanc-tu-ar-y
planter	plant-er
be-fud-dling	befuddling
pre-fab-ri-cat-ed	prefabricated
couloir	cou-loir
tele-work-ing	teleworking
car-roty	car-rot-y
rein-vent	re-in-vent
rhodi-um	rho-di-um
chromi-um	chro-mi-um
cretinous	cre-tin-ous
nifty	nif-ty
straight-away	straight-a-way
colo-nial-ist	co-lo-ni-al-ist
fluffy	fluff-y
in-ter-change-able	in-ter-change-a-ble
opin-ion-at-ed	o-pin-ion-at-ed
gan-g-ly	gan-gly
monog-a-mous	mo-nog-a-mous
poseur	po-seur
ca-cao	ca-ca-o
loutish	lout-ish
frilli-er	fril-li-er
vi-su-al	vis-u-al
re-as-sur-ing	reassuring
trade-marked	trademarked
en-chant-i-ng	en-chant-ing
kudu	ku-du
arch-i-pel-ago	ar-chi-pel-a-go
im-mutable	im-mu-ta-ble
ri-boflavin	ri-bo-fla-vin
in-com-bustible	in-com-bus-ti-ble
bailout	bail-out
freaky	freak-y
pa-pyrus	pa-py-rus
palmist	palm-ist
blowup	blow-up
pre-dictably	pre-dict-a-bly
handy-man	hand-y-man
steplad-der	step-lad-der
elec-tri-fi-ca-tion	e-lec-tri-fi-ca-tion
meta-phys-i-cal	met-a-phys-i-cal
shoplifter	shop-lift-er
laugh-ably	laugh-a-bly
ques-tion-able	ques-tion-a-ble
bre-viary	bre-vi-ar-y
at-tack-ing	attacking
eclipse	e-clipse
arabesque	ar-a-besque
un-ac-cept-ably	un-ac-cept-a-bly
bar-bar-ian	bar-bar-i-an
pi-anis-si-mo	pi-a-nis-si-mo
symp-to-matic	symp-to-mat-ic
in-tu-ition	in-tu-i-tion
craven	cra-ven
wolfish	wolf-ish
dessert	des-sert
sinew	sin-ew
bitchy	bitch-y
elec-tive	e-lec-tive
re-pro-ducibly	re-pro-duc-i-bly
emery	em-er-y
bean-ery	bean-er-y
shiv-er-ing	shivering
ranch-ing	ranching
break-away	break-a-way
apex	a-pex
usurp	u-surp
em-body	em-bod-y
re-new-able	re-new-a-ble
az-imuth	az-i-muth
misog-y-nist	mi-sog-y-nist
ra-di-ograph-ic	ra-di-o-graph-ic
sub-stan-dard	sub-stand-ard
rec-i-p-ro-cal	re-cip-ro-cal
ar-bi-trary	ar-bi-trar-y
nightin-gale	night-in-gale
syco-phan-tic	syc-o-phan-tic
union-i-sa-tion	un-ion-i-sa-tion
an-tibi-ot-ic	an-ti-bi-ot-ic
spiny	spin-y
un-demon-stra-tive	un-de-mon-stra-tive
propo-si-tion	prop-o-si-tion
inca	in-ca
mi-mosa	mi-mo-sa
elab-o-rate	e-lab-o-rate
mer-ce-nary	mer-ce-nar-y
in-quiry	in-quir-y
de-mount-able	de-mount-a-ble
forte	for-te
tawdry	taw-dry
fly-away	fly-a-way
preda-to-ry	pred-a-to-ry
archer	arch-er
despo-tism	des-pot-ism
idol-a-trous	i-dol-a-trous
scat-tered	scattered
re-newed	renewed
potable	po-ta-ble
un-der-stand-ably	un-der-stand-a-bly
pre-dictabil-i-ty	pre-dict-a-bil-i-ty
grater	grat-er
inan-i-mate	in-an-i-mate
stretchy	stretch-y
seis-mome-ter	seis-mom-e-ter
litur-gi-cal	li-tur-gi-cal
re-doubtable	re-doubt-a-ble
mushy	mush-y
