Attempt	Real
col-lap-si-ble	col-laps-i-ble
ca-thol-ic	cath-o-lic
i-di-ot-ic	id-i-ot-ic
bi-noc-u-lar	bin-oc-u-lar
pen-i-ten-tiar-y	pen-i-ten-tia-ry
te-le-ol-o-gy	tel-e-ol-o-gy
cows-lip	cow-slip
o-beisance	o-bei-sance
av-al-anche	av-a-lanche
clemen-cy	clem-en-cy
blud-g-eon	bludg-eon
quea-s-y	quea-sy
pin-cus-h-ion	pin-cush-ion
cap-y-bara	cap-y-ba-ra
mos-s-y	mos-sy
doc-u-men-tar-y	doc-u-men-ta-ry
te-lex	tel-ex
pos-ter	post-er
in-ter-dis-cip-li-nar-y	in-ter-dis-ci-pli-nar-y
rin-glet	ring-let
sa-tire	sat-ire
pond-er	pon-der
di-ar-r-hea	di-ar-rhe-a
con-descend	con-de-scend
shiny	shin-y
spin-al	spi-nal
cre-d-it-wor-thy	cred-it-worth-y
frow-ard	fro-ward
hip-pod-rome	hip-po-drome
gat-e-crash	gate-crash
clo-set	clos-et
ron-dav-el	ron-da-vel
easter-ly	east-er-ly
final	fi-nal
ca-t-a-comb	cat-a-comb
up-lift-ed	uplifted
gleam-ing	gleaming
flor-al	flo-ral
shoes-tring	shoe-string
verac-i-ty	ve-rac-i-ty
bo-tan-ist	bot-a-nist
cos-set-ed	cosseted
me-ri-di-on-al	me-rid-i-o-nal
ar-gua-bly	ar-gu-a-bly
balus-ter	bal-us-ter
fift-y	fif-ty
phi-lan-throp-ic	phil-an-throp-ic
be-drock	bed-rock
lan-y-ard	lan-yard
seaf-ar-ing	sea-far-ing
jeju-num	je-ju-num
boa	bo-a
stable-mate	sta-ble-mate
de-l-i-ques-cent	del-i-ques-cent
in-cre-ase	in-crease
sold-er	sol-der
neu-ros-cience	neu-ro-sci-ence
fai-lure	fail-ure
what-soev-er	what-so-ev-er
wizened	wiz-ened
riv-al	ri-val
pri-son-er	pris-on-er
guar-di-an	guard-i-an
story-tell-ing	sto-ry-tell-ing
pliers	pli-ers
is-o-la-tion-ism	i-so-la-tion-ism
di-ag-on-al	di-ag-o-nal
ex-pi-r-a-to-ry	ex-pir-a-to-ry
pe-destri-an	pe-des-tri-an
quar-t-er	quar-ter
un-char-it-a-ble	un-char-i-ta-ble
wil-d-er-ness	wil-der-ness
dyad	dy-ad
re-com-pense	rec-om-pense
buf-falo	buf-fa-lo
dis-cer-ni-ble	dis-cern-i-ble
lemming	lem-ming
pos-top-er-a-tive	post-op-er-a-tive
roast-ed	roasted
biped	bi-ped
wa-gon	wag-on
eg-o-ma-ni-ac	e-go-ma-ni-ac
rib-of-lavin	ri-bo-fla-vin
un-an-i-mous	u-nan-i-mous
buzz-ing	buzzing
cor-nea	cor-ne-a
la-rynx	lar-ynx
mod-e-sty	mod-es-ty
ophthal-mic	oph-thal-mic
me-moir	mem-oir
sto-pov-er	stop-o-ver
com-plaisant	com-plai-sant
transcend	tran-scend
over-ac-tive	o-ver-ac-tive
drap-er-y	dra-per-y
pho-to-vol-taic	pho-to-vol-ta-ic
de-s-pair	de-spair
esta-blish-ment	es-tab-lish-ment
a-scrip-tion	as-crip-tion
pha-rynx	phar-ynx
obe-lisk	ob-e-lisk
me-ga	meg-a
aque-ous	a-que-ous
dus-t-er	dust-er
puis-sant	pu-is-sant
fool-scap	fools-cap
pol-y-ga-my	po-lyg-a-my
mas-o-chist	mas-och-ist
a-tom	at-om
gas-troin-tes-ti-nal	gas-tro-in-tes-ti-nal
spid-er-y	spi-der-y
evoca-tive	e-voc-a-tive
ov-er-an-x-ious	o-ver-anx-ious
par-then-o-gen-e-sis	par-the-no-gen-e-sis
can-dlep-ow-er	can-dle-pow-er
weev-il	wee-vil
is-o-la-tion	i-so-la-tion
os-teo-path	os-te-o-path
in-cor-rig-i-ble	in-cor-ri-gi-ble
herring	her-ring
smallhold-ing	small-hold-ing
ave	a-ve
lin-gerie	lin-ge-rie
re-alm	realm
plan-ter	plant-er
bir-die	bird-ie
ir-re-par-a-ble	ir-rep-a-ra-ble
mag-neto-hy-dro-dy-na-m-ics-	mag-ne-to-hy-dro-dy-nam-ics
par-a-chutist	par-a-chut-ist
ack-nowledge	ac-knowl-edge
hobg-o-b-lin	hob-gob-lin
ex-ult-ing	exulting
troubled	trou-bled
re-lat-iv-ism	rel-a-tiv-ism
car-ri-age	car-riage
quin-quen-nial	quin-quen-ni-al
tran-sact	trans-act
dis-cour-teous	dis-cour-te-ous
joey	jo-ey
re-trofit	ret-ro-fit
sur-rend-er	sur-ren-der
weasel	wea-sel
seaw-or-thy	sea-wor-thy
gin-gham	ging-ham
ner-ve-less	nerve-less
decre-ment	dec-re-ment
tre-mor	trem-or
verdant	ver-dant
au-to-ma-ton	au-tom-a-ton
so-ci-al-ite	so-cial-ite
poig-nant-ly	poign-ant-ly
in-ev-it-a-ble	in-ev-i-ta-ble
o-r-al-ly	o-ral-ly
clu-bhouse	club-house
li-fes-tyle	life-style
scat-tered	scattered
ca-p-rice	ca-price
ichneu-mon	ich-neu-mon
scy-the	scythe
win-n-ing-ly	win-ning-ly
pur-port-ed	purported
rene-wal	re-new-al
crit-ique	cri-tique
per-pet-ra-tor	per-pe-tra-tor
mean-der-ing	me-an-der-ing
ex-cep-ting	ex-cept-ing
proac-tive	pro-ac-tive
poly-un-sat-u-rat-ed	pol-y-un-sat-u-rat-ed
in-cor-porat-ed	in-cor-po-rat-ed
coast-ing	coasting
pap-ist	pa-pist
ear-th-quake	earth-quake
en-gineer-ing	en-gi-neer-ing
tur-na-bout	turn-a-bout
har-d-i-ness	har-di-ness
un-cor-rob-or-at-ed	un-cor-rob-o-rat-ed
sob-ri-quet	so-bri-quet
trim-aran	tri-ma-ran
can-c-er	can-cer
crotch-e-ty	crotch-et-y
