# webcelex random #50%
Head;;HeadSyl;;PhonSylCLX;;SylCnt
a;;a;;1;;1
A;;A;;1;;1
AA;;AA;;"1-1;;2
aback;;a-back;;@-b{k;;2
abacus;;ab-a-cus;;{-b@-k@s;;3
abaft;;a-baft;;@-b#ft;;2
abandon;;a-ban-don;;@-b{n-d@n;;3
abandoned;;a-ban-doned;;@-b{n-d@nd;;3
abasement;;a-base-ment;;@-b1s-m@nt;;3
abash;;a-bash;;@-b{S;;2
abb#e;;ab-be;;{-b1;;2
abbess;;ab-bess;;{-bEs;;2
abbey;;ab-bey;;{-bI;;2
abbreviate;;ab-bre-vi-ate;;@-bri-vI-1t;;4
ABC;;ABC;;"1-bi-si;;3
abdominal;;ab-dom-i-nal;;{b-dQ-mI-nP;;4
abduction;;ab-duc-tion;;{b-dVk-SH;;3
abeam;;a-beam;;@-bim;;2
aberrant;;ab-er-rant;;{-bE-r@nt;;3
abeyance;;a-bey-ance;;@-b1-@ns;;3
abeyant;;a-bey-ant;;@-b1-@nt;;3
abhorrence;;ab-hor-rence;;@b-hQ-r@ns;;3
abhorrent;;ab-hor-rent;;@b-hQ-r@nt;;3
abidance by;;abid-ance by;;@-b2-d@ns-"b2;;4
abide by;;a-bide by;;@-b2d-b2;;3
ability;;a-bil-i-ty;;@-bI-l@-tI;;4
ab initio;;ab in-i-ti-o;;"{-bI-nI-SI-5;;5
abjection;;ab-jec-tion;;{b-_Ek-SH;;3
ablative;;ab-la-tive;;{b-l@-tIv;;3
ablaut;;ab-laut;;{b-l6t;;2
ablution;;ab-lu-tion;;@-blu-SH;;3
abnegate;;ab-ne-gate;;{b-nI-g1t;;3
abnegation;;ab-ne-ga-tion;;"{b-nI-g1-SH;;4
abnormality;;ab-nor-mal-i-ty;;"{b-n$-m{-l@-tI;;5
abnormally;;ab-nor-mal-ly;;{b-n$-m@-lI;;4
abo;;ab-o;;{-b5;;2
aboard;;a-board;;@-b$d;;2
aboard;;a-board;;@-b$d;;2
abominably;;a-bom-i-na-bly;;@-bQ-mI-n@-blI;;5
abomination;;a-bom-i-na-tion;;@-"bQ-mI-n1-SH;;5
aboriginal;;ab-o-rig-i-nal;;"{-b@-rI-_@-nP;;5
aboriginal;;ab-o-rig-i-nal;;"{-b@-rI-_@-nP;;5
abortionist;;a-bor-tion-ist;;@-b$-SH-Ist;;4
abound;;a-bound;;@-b6nd;;2
abound in;;a-bound in;;@-b6nd-In;;3
about;;a-bout;;@-b6t;;2
about;;a-bout;;@-b6t;;2
about-face;;a-bout--face;;@-"b6t-f1s;;3
above;;a-bove;;@-bVv;;2
aboveboard;;a-bove-board;;@-"bVv-b$d;;3
above-mentioned;;a-bove--men-tioned;;@-"bVv-mEn-SHd;;4
above-named;;a-bove--named;;@-"bVv-n1md;;3
abracadabra;;ab-ra-ca-dab-ra;;"{-br@-k@-d{-br@;;5
abrasion;;a-bra-sion;;@-br1-ZH;;3
abrasive;;a-bra-sive;;@-br1-sIv;;3
abrasive;;a-bra-sive;;@-br1-sIv;;3
abreast;;a-breast;;@-brEst;;2
abridge;;a-bridge;;@-brI_;;2
abridgment;;a-bridg-ment;;@-brI_-m@nt;;3
abrogate;;ab-ro-gate;;{-br5-g1t;;3
abrogation;;ab-ro-ga-tion;;"{-br5-g1-SH;;4
abrupt;;ab-rupt;;@-brVpt;;2
abruptly;;ab-rupt-ly;;@-brVpt-lI;;3
abscess;;ab-scess;;{b-sIs;;2
absent;;ab-sent;;{b-sEnt;;2
absentee;;ab-sen-tee;;"{b-s@n-ti;;3
absently;;ab-sent-ly;;{b-s@nt-lI;;3
absent-mindedly;;ab-sent--mind-ed-ly;;"{b-s@nt-m2n-dId-lI;;5
absinth;;ab-sinth;;{b-sInT;;2
absolute;;ab-so-lute;;{b-s@-lut;;3
absoluteness;;ab-so-lute-ness;;{b-s@-lut-nIs;;4
absolute zero;;ab-so-lute ze-ro;;{b-s@-lut-"z7-r5;;5
absolution;;ab-so-lu-tion;;"{b-s@-lu-SH;;4
absolutism;;ab-so-lut-ism;;{b-s@-lu-tI-z@m;;5
absolve;;ab-solve;;@b-zQlv;;2
absorb;;ab-sorb;;@b-s$b;;2
absorbent;;ab-sorb-ent;;@b-s$-b@nt;;3
absorbent;;ab-sorb-ent;;@b-s$-b@nt;;3
absorption;;ab-sorp-tion;;@b-s$p-SH;;3
abstain;;ab-stain;;@b-st1n;;2
abstemiously;;ab-ste-mi-ous-ly;;{b-sti-mj@s-lI;;4
abstention;;ab-sten-tion;;@b-stEn-SH;;3
abstract;;ab-stract;;{b-str{kt;;2
abstract;;ab-stract;;{b-str{kt;;2
abstractedly;;ab-stract-ed-ly;;{b-str{k-tId-lI;;4
absurd;;ab-surd;;@b-s3d;;2
absurdly;;ab-surd-ly;;@b-s3d-lI;;3
abundant;;a-bun-dant;;@-bVn-d@nt;;3
abuse;;a-buse;;@-bjus;;2
abutment;;a-but-ment;;@-bVt-m@nt;;3
abut on;;a-but on;;@-bVt-Qn;;3
abysmally;;a-bys-mal-ly;;@-bIz-m@-lI;;4
acacia;;a-ca-cia;;@-k1-S@;;3
academically;;ac-a-dem-i-cal-ly;;"{-k@-dE-mI-k@-lI;;6
academy;;a-cad-e-my;;@-k{-d@-mI;;4
acc.;;acc.;;"1-si-si;;3
accede;;ac-cede;;{k-sid;;2
accelerando;;ac-cel-er-an-do;;@k-"sE-l@-r{n-d5;;5
accelerando;;ac-cel-er-an-do;;@-"JE-l@-r{n-d5;;5
accelerando;;ac-cel-er-an-do;;{k-"sE-l@-r{n-d5;;5
accelerate;;ac-cel-er-ate;;@k-sE-l@-r1t;;4
acceleration;;ac-cel-er-a-tion;;@k-"sE-l@-r1-SH;;5
accentuate;;ac-cen-tu-ate;;{k-sEn-tjU-1t;;4
accentuation;;ac-cen-tu-a-tion;;{k-"sEn-tjU-1-SH;;5
acceptance;;ac-cept-ance;;@k-sEp-t@ns;;3
