given_word,real_syllabification,attempted_syllabification,lev_dist,true_syl_count,attempted_syl_count
elector,gos-sip-y,gos-si-py,1,3,3
mercuric,gos-sip-y,gos-si-py,1,3,3
nonsensical,gos-sip-y,gos-si-py,1,3,3
apostolic,gos-sip-y,gos-si-py,1,3,3
shutter,gos-sip-y,gos-si-py,1,3,3
bing,gos-sip-y,gos-si-py,1,3,3
thoracic,gos-sip-y,gos-si-py,1,3,3
besiege,gos-sip-y,gos-si-py,1,3,3
foul,gos-sip-y,gos-si-py,1,3,3
equivalence,gos-sip-y,gos-si-py,1,3,3
physiological,gos-sip-y,gos-si-py,1,3,3
movable,gos-sip-y,gos-si-py,1,3,3
encapsulate,gos-sip-y,gos-si-py,1,3,3
shoot,gos-sip-y,gos-si-py,1,3,3
habitation,gos-sip-y,gos-si-py,1,3,3
sleepiness,gos-sip-y,gos-si-py,1,3,3
nepotism,gos-sip-y,gos-si-py,1,3,3
baron,gos-sip-y,gos-si-py,1,3,3
woodshed,gos-sip-y,gos-si-py,1,3,3
beneficial,gos-sip-y,gos-si-py,1,3,3
lecherous,gos-sip-y,gos-si-py,1,3,3
haggard,gos-sip-y,gos-si-py,1,3,3
meringue,gos-sip-y,gos-si-py,1,3,3
flesher,gos-sip-y,gos-si-py,1,3,3
startle,gos-sip-y,gos-si-py,1,3,3
detachable,gos-sip-y,gos-si-py,1,3,3
sensory,gos-sip-y,gos-si-py,1,3,3
cab,gos-sip-y,gos-si-py,1,3,3
mystic,gos-sip-y,gos-si-py,1,3,3
truncate,gos-sip-y,gos-si-py,1,3,3
invigorate,gos-sip-y,gos-si-py,1,3,3
tollgate,gos-sip-y,gos-si-py,1,3,3
disparaging,gos-sip-y,gos-si-py,1,3,3
mistress,gos-sip-y,gos-si-py,1,3,3
temptress,gos-sip-y,gos-si-py,1,3,3
ravaged,gos-sip-y,gos-si-py,1,3,3
lactation,gos-sip-y,gos-si-py,1,3,3
roost,gos-sip-y,gos-si-py,1,3,3
deep,gos-sip-y,gos-si-py,1,3,3
marinade,gos-sip-y,gos-si-py,1,3,3
hotly,gos-sip-y,gos-si-py,1,3,3
bookworm,gos-sip-y,gos-si-py,1,3,3
impossibly,gos-sip-y,gos-si-py,1,3,3
booking,gos-sip-y,gos-si-py,1,3,3
burdock,gos-sip-y,gos-si-py,1,3,3
poke,gos-sip-y,gos-si-py,1,3,3
overweening,gos-sip-y,gos-si-py,1,3,3
hoop,gos-sip-y,gos-si-py,1,3,3
paranormal,gos-sip-y,gos-si-py,1,3,3
sportingly,gos-sip-y,gos-si-py,1,3,3
banner,gos-sip-y,gos-si-py,1,3,3
culminate,gos-sip-y,gos-si-py,1,3,3
whip,gos-sip-y,gos-si-py,1,3,3
beefy,gos-sip-y,gos-si-py,1,3,3
ruck,gos-sip-y,gos-si-py,1,3,3
scalpel,gos-sip-y,gos-si-py,1,3,3
collectivisation,gos-sip-y,gos-si-py,1,3,3
crumple,gos-sip-y,gos-si-py,1,3,3
lustful,gos-sip-y,gos-si-py,1,3,3
expressive,gos-sip-y,gos-si-py,1,3,3
compensate,gos-sip-y,gos-si-py,1,3,3
blue,gos-sip-y,gos-si-py,1,3,3
excited,gos-sip-y,gos-si-py,1,3,3
cesspit,gos-sip-y,gos-si-py,1,3,3
maneuver,gos-sip-y,gos-si-py,1,3,3
outstep,gos-sip-y,gos-si-py,1,3,3
gloomy,gos-sip-y,gos-si-py,1,3,3
tawny,gos-sip-y,gos-si-py,1,3,3
legalese,gos-sip-y,gos-si-py,1,3,3
steamroller,gos-sip-y,gos-si-py,1,3,3
dispossession,gos-sip-y,gos-si-py,1,3,3
liminal,gos-sip-y,gos-si-py,1,3,3
beadwork,gos-sip-y,gos-si-py,1,3,3
torturous,gos-sip-y,gos-si-py,1,3,3
lumbering,gos-sip-y,gos-si-py,1,3,3
blood,gos-sip-y,gos-si-py,1,3,3
delicate,gos-sip-y,gos-si-py,1,3,3
wretched,gos-sip-y,gos-si-py,1,3,3
arduous,gos-sip-y,gos-si-py,1,3,3
aspiration,gos-sip-y,gos-si-py,1,3,3
cod,gos-sip-y,gos-si-py,1,3,3
aslant,gos-sip-y,gos-si-py,1,3,3
increasingly,gos-sip-y,gos-si-py,1,3,3
broad,gos-sip-y,gos-si-py,1,3,3
checklist,gos-sip-y,gos-si-py,1,3,3
webbed,gos-sip-y,gos-si-py,1,3,3
ingot,gos-sip-y,gos-si-py,1,3,3
rafter,gos-sip-y,gos-si-py,1,3,3
thicket,gos-sip-y,gos-si-py,1,3,3
unvanquished,gos-sip-y,gos-si-py,1,3,3
carotene,gos-sip-y,gos-si-py,1,3,3
gastric,gos-sip-y,gos-si-py,1,3,3
anthropometric,gos-sip-y,gos-si-py,1,3,3
haft,gos-sip-y,gos-si-py,1,3,3
freehand,gos-sip-y,gos-si-py,1,3,3
choirboy,gos-sip-y,gos-si-py,1,3,3
dachshund,gos-sip-y,gos-si-py,1,3,3
honestly,gos-sip-y,gos-si-py,1,3,3
parrot,gos-sip-y,gos-si-py,1,3,3
wrinkled,gos-sip-y,gos-si-py,1,3,3
triple,gos-sip-y,gos-si-py,1,3,3
nose,gos-sip-y,gos-si-py,1,3,3
maser,gos-sip-y,gos-si-py,1,3,3
melody,gos-sip-y,gos-si-py,1,3,3
dairy,gos-sip-y,gos-si-py,1,3,3
urbane,gos-sip-y,gos-si-py,1,3,3
conquer,gos-sip-y,gos-si-py,1,3,3
tumbledown,gos-sip-y,gos-si-py,1,3,3
push,gos-sip-y,gos-si-py,1,3,3
hyperinflation,gos-sip-y,gos-si-py,1,3,3
best,gos-sip-y,gos-si-py,1,3,3
reinstatement,gos-sip-y,gos-si-py,1,3,3
roughly,gos-sip-y,gos-si-py,1,3,3
stillness,gos-sip-y,gos-si-py,1,3,3
unencrypted,gos-sip-y,gos-si-py,1,3,3
mislay,gos-sip-y,gos-si-py,1,3,3
chorus,gos-sip-y,gos-si-py,1,3,3
kilt,gos-sip-y,gos-si-py,1,3,3
gemsbok,gos-sip-y,gos-si-py,1,3,3
strip,gos-sip-y,gos-si-py,1,3,3
cockpit,gos-sip-y,gos-si-py,1,3,3
taxidermy,gos-sip-y,gos-si-py,1,3,3
fogey,gos-sip-y,gos-si-py,1,3,3
butter,gos-sip-y,gos-si-py,1,3,3
belligerence,gos-sip-y,gos-si-py,1,3,3
ninefold,gos-sip-y,gos-si-py,1,3,3
wold,gos-sip-y,gos-si-py,1,3,3
subordination,gos-sip-y,gos-si-py,1,3,3
degraded,gos-sip-y,gos-si-py,1,3,3
bloodstain,gos-sip-y,gos-si-py,1,3,3
raspberry,gos-sip-y,gos-si-py,1,3,3
miscreant,gos-sip-y,gos-si-py,1,3,3
football,gos-sip-y,gos-si-py,1,3,3
kestrel,gos-sip-y,gos-si-py,1,3,3
dispensation,gos-sip-y,gos-si-py,1,3,3
brazenly,gos-sip-y,gos-si-py,1,3,3
cuttle,gos-sip-y,gos-si-py,1,3,3
deity,gos-sip-y,gos-si-py,1,3,3
undirected,gos-sip-y,gos-si-py,1,3,3
whistler,gos-sip-y,gos-si-py,1,3,3
avenge,gos-sip-y,gos-si-py,1,3,3
propeller,gos-sip-y,gos-si-py,1,3,3
resourceful,gos-sip-y,gos-si-py,1,3,3
fiscally,gos-sip-y,gos-si-py,1,3,3
accent,gos-sip-y,gos-si-py,1,3,3
artery,gos-sip-y,gos-si-py,1,3,3
larva,gos-sip-y,gos-si-py,1,3,3
peacemaker,gos-sip-y,gos-si-py,1,3,3
proprietorship,gos-sip-y,gos-si-py,1,3,3
exhilarate,gos-sip-y,gos-si-py,1,3,3
wholewheat,gos-sip-y,gos-si-py,1,3,3
path,gos-sip-y,gos-si-py,1,3,3
outburst,gos-sip-y,gos-si-py,1,3,3
mayflower,gos-sip-y,gos-si-py,1,3,3
unimpressed,gos-sip-y,gos-si-py,1,3,3
spinach,gos-sip-y,gos-si-py,1,3,3
ratepayer,gos-sip-y,gos-si-py,1,3,3
licking,gos-sip-y,gos-si-py,1,3,3
forego,gos-sip-y,gos-si-py,1,3,3
handmaiden,gos-sip-y,gos-si-py,1,3,3
perdition,gos-sip-y,gos-si-py,1,3,3
cantilever,gos-sip-y,gos-si-py,1,3,3
optional,gos-sip-y,gos-si-py,1,3,3
cropper,gos-sip-y,gos-si-py,1,3,3
symbiont,gos-sip-y,gos-si-py,1,3,3
literati,gos-sip-y,gos-si-py,1,3,3
manicure,gos-sip-y,gos-si-py,1,3,3
dryness,gos-sip-y,gos-si-py,1,3,3
charlatan,gos-sip-y,gos-si-py,1,3,3
exploratory,gos-sip-y,gos-si-py,1,3,3
curling,gos-sip-y,gos-si-py,1,3,3
flora,gos-sip-y,gos-si-py,1,3,3
tinfoil,gos-sip-y,gos-si-py,1,3,3
clarification,gos-sip-y,gos-si-py,1,3,3
porous,gos-sip-y,gos-si-py,1,3,3
