word,ortho_syl,phon_syl,syl_count
accredited,ac-cred-it-ed,ə.kɹɛ.dɪ.tɪd,4.0
clamour,clam-our,klæ.məR,2.0
branding-iron,brand-ing--i-ron,bɹæn.dɪŋ."aɪ.ən,4.0
body politic,bod-y pol-i-tic,"bɑ.dɪ.pɑ.lə.tɪk,5.0
balance-wheel,bal-ance--wheel,bæ.ləns.wiːl,3.0
clinker,clink-er,klɪŋ.kəR,2.0
awkward,awk-ward,ɔɚ.kwəd,2.0
chasm,chasm,kæ.zəm,2.0
big-timer,big--tim-er,bɪg.taɪ.məR,3.0
blinkers,blink-ers,blɪŋ.kəz,2.0
ascorbic acid,a-scor-bic ac-id,ə."skɔɚ.bɪk.æ.sɪd,5.0
commiseration,com-mis-er-a-tion,kə."mɪ.zə.ɹeɪ.ʃən,5.0
cigarette-case,cig-a-rette--case,"sɪ.gə.ɹɛt.keɪs,4.0
categorize,cat-e-go-rize,kæ.tə.gə.ɹaɪz,4.0
beatitude,be-at-i-tude,biː.æ.tɪ.tjuːd,4.0
alliterate,al-lit-er-ate,ə.lɪ.tə.ɹeɪt,4.0
bullet-headed,bul-let--head-ed,bʊ.lɪt."hɛ.dɪd,4.0
accredit,ac-cred-it,ə.kɹɛ.dɪt,3.0
blustery,blus-ter-y,blʌ.stə.ɹɪ,3.0
autonomously,au-ton-o-mous-ly,ɔɚ.tɑ.nə.məs.lɪ,5.0
bencher,bench-er,bɛn.tʃəR,2.0
bachelor's degree,bach-e-lor's de-gree,bæ.tʃə.ləz.dɪ."gɹiː,5.0
characterless,char-ac-ter-less,kæ.ɹək.tə.lɪs,4.0
benevolent,be-nev-o-lent,bɪ.nɛ.və.lənt,4.0
accelerando,ac-cel-er-an-do,æk."sɛ.lə.ɹæn.doʊ,5.0
borne in upon,borne in up-on,"bɔɚn.ɪn.ə."pɑn,4.0
coagulant,co-ag-u-lant,koʊ.æ.gjʊ.lənt,4.0
broodily,brood-i-ly,bɹuː.dɪ.lɪ,3.0
