word,ortho_syl,phon_syl,syl_count
auger,au-ger,ɔɚ.gəR,2.0
chaffinch,chaf-finch,tʃæ.fɪntʃ,2.0
certain,cer-tain,sɚ.tən,2.0
alkali,al-ka-li,æl.kə.laɪ,3.0
canary,ca-nar-y,kə.nɛɚ.ɹɪ,3.0
brazenly,bra-zen-ly,bɹeɪ.zən.lɪ,3.0
abide by,a-bide by,ə.baɪd.baɪ,3.0
burnt-out,burnt--out,"bɚnt.aʊt,2.0
batman,bat-man,bæt.mən,2.0
cellulose,cel-lu-lose,sɛl.jʊ.loʊs,3.0
cantonment,can-ton-ment,kæn.tuːn.mənt,3.0
blow into,blow in-to,bloʊ."ɪn.tuː,3.0
cashmere,cash-mere,kæʃ.mɪɚR,2.0
antiseptic,an-ti-sep-tic,"æn.tɪ.sɛp.tɪk,4.0
bedroom,bed-room,bɛd.ɹʊm,2.0
broadloom,broad-loom,bɹɔɚd.luːm,2.0
alfresco,al-fres-co,æl.fɹɛs.koʊ,3.0
bordello,bor-del-lo,bɔɚ.dɛ.loʊ,3.0
astray,a-stray,ə.stɹeɪ,2.0
cockney,cock-ney,kɑk.nɪ,2.0
bill of health,bill of health,"bɪl.ɑv.hɛlθ,3.0
Antiguan,An-ti-guan,æn.tiː.gən,3.0
addiction,ad-dic-tion,ə.dɪk.ʃən,3.0
comfort,com-fort,kʌm.fət,2.0
ballroom,ball-room,bɔɚl.ɹʊm,2.0
bulldozer,bull-doz-er,bʊl.doʊ.zəR,3.0
bequest,be-quest,bɪ.kwɛst,2.0
beltway,belt-way,bɛlt.weɪ,2.0
abbreviate,ab-bre-vi-ate,ə.bɹiː.vɪ.eɪt,4.0
aloofness,a-loof-ness,ə.luːf.nɪs,3.0
abstain,ab-stain,əb.steɪn,2.0
a fortiori,a for-ti-o-ri,"eɪ."fɔɚ.tɪ.ɔɚ.ɹaɪ,5.0
belt up,belt up,"bɛlt.ʌp,2.0
ad lib,ad lib,"æd.lɪb,2.0
break in,break in,"bɹeɪk.ɪn,2.0
borzoi,bor-zoi,bɔɚ.zɔɪ,2.0
alive,a-live,ə.laɪv,2.0
carouse,ca-rouse,kə.ɹaʊz,2.0
Buna,Bu-na,buː.nə,2.0
attrition,at-tri-tion,ə.tɹɪ.ʃən,3.0
assert,as-sert,ə.sɚt,2.0
absolution,ab-so-lu-tion,"æb.sə.luː.ʃən,4.0
arrogance,ar-ro-gance,æ.ɹə.gəns,3.0
among,a-mong,ə.mʌŋ,2.0
amongst,a-mongst,ə.mʌŋst,2.0
Colombian,Co-lom-bi-an,kə.lɑm.bɪɚn,3.0
common-law,com-mon--law,"kɑ.mən.lɔɚ,3.0
amiable,a-mi-a-ble,eɪ.mjə.bəl,3.0
bulwark,bul-wark,bʊl.wək,2.0
chimneybreast,chim-ney-breast,tʃɪm.nɪ.bɹɛst,3.0
bombshell,bomb-shell,bɑm.ʃɛl,2.0
bootblack,boot-black,buːt.blæk,2.0
alkaline,al-ka-line,æl.kə.laɪn,3.0
absorption,ab-sorp-tion,əb.sɔɚp.ʃən,3.0
bow tie,bow tie,"boʊ.taɪ,2.0
clipboard,clip-board,klɪp.bɔɚd,2.0
circumscribe,cir-cum-scribe,sɚ.kəm.skɹaɪb,3.0
blue film,blue film,"bluː.fɪlm,2.0
bitumen,bi-tu-men,bɪ.tjʊ.mɪn,3.0
better,bet-ter,bɛ.təR,2.0
Bible,Bi-ble,baɪ.bəl,2.0
angora,an-go-ra,æŋ.gɔɚ.ɹə,3.0
betwixt,be-twixt,bɪ.twɪkst,2.0
buggy,bug-gy,bʌ.gɪ,2.0
bestowal,be-stow-al,bɪ.stoʊ.əl,3.0
bellyful,bel-ly-ful,bɛ.lɪ.fʊl,3.0
bear hug,bear hug,bɛɚ.hʌg,2.0
bobby pin,bob-by pin,bɑ.bɪ.pɪn,3.0
bronchial tube,bron-chi-al tube,"bɹɑŋ.kjəl.tjuːb,3.0
care for,care for,kɛɚ.fɔɚR,2.0
