Attempt	Real
un-afraid	un-a-fraid
mushy	mush-y
uni-formed	u-ni-formed
is-suer	is-su-er
book-able	book-a-ble
undi-min-ished	un-di-min-ished
again	a-gain
tem-pera-ment	tem-per-a-ment
penu-ri-ous	pe-nu-ri-ous
resur-face	re-sur-face
precinct	pre-cinct
cobalt	co-balt
epic	ep-ic
em-broi-dered	embroidered
provoca-tive-ly	pro-voc-a-tive-ly
lawyer	law-yer
singsong	sing-song
bather	bath-er
un-ten-able	un-ten-a-ble
satir-ic	sa-tir-ic
rar-efied	rar-e-fied
uni-lat-er-al-ism	u-ni-lat-er-al-ism
bes-tiary	bes-ti-ar-y
habi-ta-tion	hab-i-ta-tion
in-ge-nious-ly	in-gen-ious-ly
hi-jack-ing	hi-jac-king
remix	re-mix
print-able	print-a-ble
re-tiree	re-tir-ee
or-thorhom-bic	or-tho-rhom-bic
rel-a-tivism	rel-a-tiv-ism
sub-lu-nary	sub-lu-nar-y
coali-tion	co-a-li-tion
sys-temic	sys-tem-ic
pigsty	pig-sty
tem-po-rary	tem-po-rar-y
archdea-con	arch-dea-con
tillage	till-age
mica	mi-ca
misog-y-ny	mi-sog-y-ny
ridicu-lous-ness	ri-dic-u-lous-ness
irid-i-um	i-rid-i-um
rum-pled	rumpled
enig-ma	e-nig-ma
lever	lev-er
bushel	bush-el
pathogen	path-o-gen
playfel-low	play-fel-low
dreamy	dream-y
con-vert-ible	con-vert-i-ble
cologne	co-logne
en-er-getic	en-er-get-ic
con-toured	contoured
tuner	tun-er
he-do-nism	he-don-ism
any	an-y
foundry	found-ry
dado	da-do
opin-ion-at-ed	o-pin-ion-at-ed
un-ac-cept-ably	un-ac-cept-a-bly
re-pairable	re-pair-a-ble
con-sid-er-ably	con-sid-er-a-bly
re-porter	re-port-er
changeling	change-ling
recheck	re-check
an-tecedent	an-te-ced-ent
onion	on-ion
spher-oid	sphe-roid
seafood	sea-food
de-po-si-tion	dep-o-si-tion
ar-guably	ar-gu-a-bly
mas-cara	mas-car-a
brio	bri-o
ex-huma-tion	ex-hu-ma-tion
seis-mome-ter	seis-mom-e-ter
inat-ten-tion	in-at-ten-tion
valet	val-et
lazi-ness	la-zi-ness
uvu-lar	u-vu-lar
moun-taineer	moun-tain-eer
sportive	spor-tive
as-sured-ly	as-sur-ed-ly
in-ter-nu-clear	in-ter-nu-cle-ar
quiet-ness	qui-et-ness
uni-lat-er-al-ly	u-ni-lat-er-al-ly
vari-abil-i-ty	var-i-a-bil-i-ty
over-seas	o-ver-seas
sto-ical-ly	sto-i-cal-ly
laden	lad-en
cu-rat-ed	curated
mam-malian	mam-ma-li-an
deeply	deep-ly
