Attempt	Real
mi-croor-gan-ism	mi-cro-or-gan-ism
howdy	how-dy
pari-ah	pa-ri-ah
blitzkrieg	blitz-krieg
con-cil-iar	con-cil-i-ar
trust-ed	trusted
in-escapably	in-es-cap-a-bly
dullard	dull-ard
ca-su-istry	cas-u-ist-ry
syl-labub	syl-la-bub
every-day	eve-ry-day
pre-sen-ter	pre-sent-er
man-dolin	man-do-lin
litur-gi-cal	li-tur-gi-cal
con-tention	con-ten-tion
os-teopa-thy	os-te-op-a-thy
phys-io-ther-a-py	phys-i-o-ther-a-py
ether	e-ther
para-mag-net-ic	par-a-mag-net-ic
school-teacher	school-teach-er
cityscape	cit-y-scape
wormy	worm-y
un-du-lat-ing	un-du-la-ting
fish-ery	fish-er-y
iden-ti-cal-ly	i-den-ti-cal-ly
un-fore-see-able	un-fore-see-a-ble
fruiter	fruit-er
un-awak-ened	un-a-wak-ened
ex-ocrine	ex-o-crine
avian	a-vi-an
hobo	ho-bo
idyll	i-dyll
un-elect-ed	un-e-lect-ed
quater-nion	qua-ter-ni-on
mono-phon-ic	mon-o-phon-ic
de-fend-ing	defending
pecan	pe-can
scenery	scen-er-y
roundel	roun-del
gam-bling	gam-bling
ar-guable	ar-gu-a-ble
barom-e-ter	ba-rom-e-ter
un-am-bigu-ous	un-am-big-u-ous
item	i-tem
in-hala-tion	in-ha-la-tion
calorime-ter	cal-o-rim-e-ter
wapi-ti	wap-i-ti
ranger	rang-er
mul-ti-pro-cess-ing	mul-ti-proc-ess-ing
sub-jec-tivism	sub-jec-tiv-ism
in-fla-tion-ary	in-fla-tion-ar-y
fel-la-tio	fel-la-ti-o
preva-lence	prev-a-lence
medal	med-al
con-sumerist	con-sum-er-ist
uni-cy-cle	u-ni-cy-cle
im-per-me-able	im-per-me-a-ble
lachry-mose	lach-ry-mose
salience	sa-li-ence
poly-atom-ic	pol-y-a-tom-ic
an-tibi-ot-ic	an-ti-bi-ot-ic
penin-su-lar	pen-in-su-lar
carotene	car-o-tene
gra-tu-ity	gra-tu-i-ty
ini-tial	in-i-tial
un-pre-dictabil-i-ty	un-pre-dict-a-bil-i-ty
enor-mous-ly	e-nor-mous-ly
aback	a-back
midi	mid-i
shandy	shan-dy
unglam-orous	un-glam-or-ous
me-te-oric	me-te-or-ic
poli-ty	pol-i-ty
serai	se-ra-i
far-away	far-a-way
lyrist	lyr-ist
stan-dard	stand-ard
neu-ronal	neu-ron-al
com-fort-able	com-fort-a-ble
bud-get	budg-et
wimpy	wimp-y
sali-vate	sal-i-vate
whistler	whis-tler
phonon	pho-non
hexa-gon	hex-a-gon
bereft	be-reft
hairy	hair-y
re-mark-able	re-mark-a-ble
odome-ter	o-dom-e-ter
data-base	da-ta-base
talon	tal-on
may-oral	may-or-al
over-weight	o-ver-weight
chamomile	cham-o-mile
paraf-fin	par-af-fin
pre-sen-ta-tion-al	pres-en-ta-tion-al
un-prof-itable	un-prof-it-a-ble
ex-plic-a-ble	ex-pli-ca-ble
mere-tri-cious	mer-e-tri-cious
ap-pre-cia-ble	ap-pre-ci-a-ble
phrasal	phras-al
macaw	ma-caw
broadsword	broad-sword
tele-vi-sion	tel-e-vi-sion
petu-lant	pet-u-lant
bish-opric	bish-op-ric
in-vestor	in-ves-tor
megas-tar	meg-a-star
un-opened	un-o-pened
avail	a-vail
over-fly	o-ver-fly
askew	a-skew
ap-proach-able	ap-proach-a-ble
necro-mancer	nec-ro-man-cer
iras-ci-ble	i-ras-ci-ble
eon	e-on
