given_word,real_syllabification,attempted_syllabification,lev_dist,true_syl_count,attempted_syl_count
infest,pig,pig,0,1,1
militarist,pig,pig,0,1,1
doorstep,pig,pig,0,1,1
juvenile,pig,pig,0,1,1
preposition,pig,pig,0,1,1
follicular,pig,pig,0,1,1
connective,pig,pig,0,1,1
cartwheel,pig,pig,0,1,1
nomenclature,pig,pig,0,1,1
tabloid,pig,pig,0,1,1
scum,pig,pig,0,1,1
midland,pig,pig,0,1,1
underweight,pig,pig,0,1,1
threaten,pig,pig,0,1,1
foolishly,pig,pig,0,1,1
robot,pig,pig,0,1,1
silence,pig,pig,0,1,1
fetter,pig,pig,0,1,1
fishwife,pig,pig,0,1,1
cyclone,pig,pig,0,1,1
during,pig,pig,0,1,1
uninsurable,pig,pig,0,1,1
reprocess,pig,pig,0,1,1
scansion,pig,pig,0,1,1
throughout,pig,pig,0,1,1
directness,pig,pig,0,1,1
scarcity,pig,pig,0,1,1
balloonist,pig,pig,0,1,1
yachting,pig,pig,0,1,1
consumption,pig,pig,0,1,1
shortness,pig,pig,0,1,1
inanimate,pig,pig,0,1,1
definitional,pig,pig,0,1,1
firebrand,pig,pig,0,1,1
realism,pig,pig,0,1,1
awake,pig,pig,0,1,1
heartily,pig,pig,0,1,1
cacophony,pig,pig,0,1,1
successive,pig,pig,0,1,1
semifinalist,pig,pig,0,1,1
latent,pig,pig,0,1,1
unconfirmed,pig,pig,0,1,1
bleat,pig,pig,0,1,1
obsessive,pig,pig,0,1,1
ulcer,pig,pig,0,1,1
ascription,pig,pig,0,1,1
roan,pig,pig,0,1,1
riot,pig,pig,0,1,1
melancholia,pig,pig,0,1,1
auto,pig,pig,0,1,1
slipperiness,pig,pig,0,1,1
lustily,pig,pig,0,1,1
roaming,pig,pig,0,1,1
obscurantism,pig,pig,0,1,1
diffraction,pig,pig,0,1,1
episcopal,pig,pig,0,1,1
discourage,pig,pig,0,1,1
condole,pig,pig,0,1,1
haunt,pig,pig,0,1,1
herewith,pig,pig,0,1,1
imminent,pig,pig,0,1,1
rippling,pig,pig,0,1,1
eddy,pig,pig,0,1,1
bane,pig,pig,0,1,1
intolerant,pig,pig,0,1,1
podium,pig,pig,0,1,1
illustrated,pig,pig,0,1,1
deviation,pig,pig,0,1,1
unhappily,pig,pig,0,1,1
electromagnet,pig,pig,0,1,1
enormous,pig,pig,0,1,1
blissfully,pig,pig,0,1,1
disburse,pig,pig,0,1,1
dearly,pig,pig,0,1,1
clutch,pig,pig,0,1,1
noticeable,pig,pig,0,1,1
clank,pig,pig,0,1,1
bramble,pig,pig,0,1,1
silo,pig,pig,0,1,1
