Attempt	Real
friv-o-li-ty	fri-vol-i-ty
virtue	vir-tue
yel-lowed	yellowed
coro-nary	cor-o-nar-y
kilo-hertz	kil-o-hertz
sober-ly	so-ber-ly
gasi-fy	gas-i-fy
tachy-on	tach-y-on
elude	e-lude
per-pe-tu-ity	per-pe-tu-i-ty
ar-bi-trari-ness	ar-bi-trar-i-ness
so-cioe-co-nom-ic	so-ci-o-ec-o-nom-ic
dandy	dan-dy
un-work-able	un-work-a-ble
dis-cernible	dis-cern-i-ble
mal-adroit	mal-a-droit
scruti-ny	scru-ti-ny
stilet-to	sti-let-to
eu-phemisti-cal-ly	eu-phe-mis-ti-cal-ly
test-ing	testing
in-ter-ci-ty	in-ter-cit-y
dum-found-ing	dumf-ound-ing
ashore	a-shore
struc-tural-ism	struc-tur-al-ism
un-steady	un-stead-y
un-ob-ser-vant	un-ob-serv-ant
valid-ly	val-id-ly
repro-bate	rep-ro-bate
uni-fi-ca-tion	u-ni-fi-ca-tion
com-modore	com-mo-dore
lassie	las-sie
pout-ing	pouting
grenade	gre-nade
an-ti-sta-t-ic	an-ti-stat-ic
flan-nelette	flan-nel-ette
elim-i-na-tion	e-lim-i-na-tion
mil-i-tary	mil-i-tar-y
un-emo-tion-al	un-e-mo-tion-al
hero	he-ro
deben-ture	de-ben-ture
pageantry	pag-eant-ry
vic-ar-i-ous	vi-car-i-ous
in-du-bitable	in-du-bi-ta-ble
fil-i-buster	fil-i-bus-ter
tri-umphal-ism	tri-um-phal-ism
midriff	mid-riff
hawthorn	haw-thorn
eques-tri-an	e-ques-tri-an
rock-et-ing	rocketing
hosepipe	hose-pipe
in-ter-po-lat-able	in-ter-po-la-ta-ble
starlight	star-light
chid-ing	chiding
necrophil-ia	nec-ro-phil-i-a
copi-er	cop-i-er
en-chant-i-ng	en-chant-ing
py-rotech-nics	py-ro-tech-nics
raisin	rai-sin
copy-right	cop-y-right
camshaft	cam-shaft
un-ques-tion-able	un-ques-tion-a-ble
karakul	kar-a-kul
facile	fac-ile
un-beat-able	un-beat-a-ble
inca	in-ca
ma-tri-archy	ma-tri-ar-chy
bevy	bev-y
deathbed	death-bed
beryl-li-um	be-ryl-li-um
ob-scu-ran-tist	ob-scu-rant-ist
ethno-graph-ic	eth-no-graph-ic
ir-re-ducible	ir-re-duc-i-ble
ethol-o-gy	e-thol-o-gy
tena-cious	te-na-cious
tem-po-rary	tem-po-rar-y
cre-ation-ist	cre-a-tion-ist
cas-sowary	cas-so-war-y
turn-about	turn-a-bout
sloven-ly	slov-en-ly
buzzer	buzz-er
in-quiry	in-quir-y
keynote	key-note
holis-ti-cal-ly	ho-lis-ti-cal-ly
multi-na-tion-al	mul-ti-na-tion-al
demon-stra-bly	de-mon-stra-bly
ria	ri-a
cataract	cat-a-ract
di-ure-sis	di-u-re-sis
sor-cery	sor-cer-y
prostaglandin	pros-ta-glan-din
colonist	col-o-nist
racy	rac-y
dropout	drop-out
uni-lat-er-al-ist	u-ni-lat-er-al-ist
mimet-ic	mi-met-ic
neona-tal	ne-o-na-tal
every-one	eve-ry-one
reper-cus-sion	re-per-cus-sion
spir-i-tu-al	spir-it-u-al
lan-der	land-er
elon-gate	e-lon-gate
impi	im-pi
footrest	foot-rest
tremen-dous-ly	tre-men-dous-ly
phy-loge-ny	phy-log-e-ny
chunky	chunk-y
ir-rec-on-cil-able	ir-rec-on-cil-a-ble
so-lace	sol-ace
sinecure	si-ne-cure
mea-sure	meas-ure
topol-o-gy	to-pol-o-gy
tenet	ten-et
over-pay-ment	o-ver-pay-ment
caldera	cal-de-ra
in-ter-nu-clear	in-ter-nu-cle-ar
dioce-san	di-oc-e-san
fanci-er	fan-ci-er
smudgy	smudg-y
prowess	prow-ess
dio-cese	di-o-cese
wom-ankind	wom-an-kind
rescale	re-scale
habit	hab-it
aban-don-ment	a-ban-don-ment
un-hy-gien-ic	un-hy-gi-en-ic
in-tractable	in-trac-ta-ble
veni-son	ven-i-son
iso-lat-ed	i-so-lat-ed
ro-tary	ro-ta-ry
cou-turi-er	cou-tu-ri-er
re-freshed	refreshed
rein-car-nate	re-in-car-nate
par-adise	par-a-dise
de-fines	def-ines
unim-ped-ed	un-im-ped-ed
aloud	a-loud
worsted	wor-sted
mo-tocross	mo-to-cross
hindquar-ters	hind-quar-ters
seamy	seam-y
dis-ori-en-ta-tion	dis-o-ri-en-ta-tion
dimin-u-en-do	di-min-u-en-do
